month,PM2.5,PM10,SO2,NO2,CO,O3
1,90,126,34,122,2100,8
1,94,122,49,120,2200,8
1,99,137,44,121,2700,8
1,119,146,48,126,3100,8
1,138,164,53,130,3400,8
1,141,193,44,124,4000,8
1,123,161,39,116,4000,7
1,119,147,41,118,4100,7
1,71,78,35,97,2500,6
1,55,98,29,92,2600,6
1,66,98,32,95,3000,7
1,82,108,35,92,3200,8
1,77,96,31,85,2500,8
1,39,59,20,67,1500,12
1,36,59,17,62,1500,18
1,45,70,19,61,1500,26
1,43,64,16,56,1400,36
1,44,60,18,59,1300,39
1,53,78,20,76,1500,34
1,65,110,24,93,1600,29
1,99,138,35,109,2000,22
1,88,119,32,108,1700,19
1,91,130,34,116,1900,14
1,89,129,36,120,1900,10
1,102,137,40,122,2100,8
1,106,137,43,124,2400,8
1,144,201,70,127,3000,9
1,213,288,73,126,3500,6
1,226,261,42,113,3400,5
1,174,188,29,90,3300,3
1,143,149,22,85,3100,3
1,122,125,39,87,3700,3
1,94,112,69,85,3500,4
1,97,105,68,86,3200,5
1,82,102,63,82,2800,8
1,84,112,61,86,3000,6
1,93,122,62,87,3100,6
1,96,129,61,85,3200,9
1,105,145,64,83,3200,11
1,93,112,55,70,2500,21
1,89,104,53,65,2300,27
1,101,128,51,68,2300,25
1,120,145,54,79,2600,18
1,120,149,51,80,2500,17
1,125,151,46,88,2700,10
1,140,178,42,91,2700,6
1,137,160,39,90,2600,6
1,138,149,41,87,2400,8
1,151,160,42,89,2400,8
1,145,150,42,69,2100,20
1,146,171,38,81,2500,11
1,152,165,20,85,3000,8
1,166,166,19,91,3400,4
1,173,173,24,88,3500,5
1,112,112,18,67,2000,5
1,91,91,18,66,1800,12
1,28,28,15,27,700,52
1,21,50,9,22,700,59
1,18,48,7,22,600,60
1,18,33,8,25,700,55
1,18,37,7,21,700,59
1,21,36,6,16,600,64
1,19,33,6,16,700,66
1,21,30,6,15,800,68
1,16,16,2,12,700,73
1,15,15,2,12,600,73
1,15,17,2,14,600,74
1,13,21,2,14,600,73
1,12,18,2,17,500,70
1,12,24,2,22,600,65
1,16,22,3,30,700,56
1,18,20,5,38,800,48
1,17,23,5,44,800,43
1,15,18,4,29,600,54
1,15,23,4,38,700,46
1,8,18,2,14,500,68
1,5,74,2,10,400,70
1,7,40,2,10,400,66
1,4,33,2,10,400,64
1,3,23,2,13,400,58
1,6,20,3,14,500,57
1,9,27,5,21,600,50
1,9,29,5,27,600,45
1,9,32,3,20,600,53
1,8,34,2,15,600,58
1,7,44,2,10,500,63
1,10,66,2,8,500,64
1,11,77,2,8,600,63
1,10,63,2,9,500,63
1,4,80,2,11,500,19
1,9,92,2,12,500,19
1,11,101,2,20,600,19
1,16,59,4,32,700,19
1,12,36,2,29,600,19
1,10,39,2,31,600,18
1,13,42,4,40,700,18
1,19,48,6,43,800,17
1,16,39,5,50,900,17
1,19,26,4,47,900,16
1,21,32,4,63,900,16
1,20,32,6,64,1000,15
1,22,22,5,62,900,15
1,17,17,2,54,800,14
1,20,21,5,60,900,14
1,15,20,6,61,1000,14
1,15,24,5,68,1000,13
1,17,33,4,67,1300,13
1,26,41,9,60,1400,13
1,40,70,11,76,2000,13
1,80,117,38,81,2500,16
1,119,150,40,76,2400,27
1,117,158,37,74,2400,33
1,82,104,32,61,1700,40
1,62,96,29,57,1400,41
1,51,87,27,62,1300,36
1,65,118,32,88,1700,15
1,72,120,30,95,1800,9
1,89,129,36,105,2000,4
1,100,134,36,105,2500,4
1,98,124,40,98,2500,6
1,117,145,47,100,3100,8
1,143,175,61,109,3500,10
1,132,151,56,102,3200,8
1,113,127,37,96,2800,6
1,106,116,35,95,2800,6
1,94,97,29,78,2600,11
1,88,95,31,77,2800,11
1,92,113,45,81,3700,10
1,114,146,70,80,5000,11
1,107,137,78,81,4900,11
1,103,135,82,79,4900,13
1,111,146,87,80,5000,15
1,114,140,84,82,4900,16
1,126,140,84,82,4900,20
1,148,173,89,93,4700,20
1,154,183,84,98,4600,15
1,143,159,77,99,4200,14
1,136,155,76,102,4000,11
1,132,156,75,105,3800,10
1,137,170,76,107,4300,10
1,148,177,83,105,4500,11
1,151,183,87,104,4700,11
1,173,204,91,103,5100,12
1,172,209,89,98,4800,12
1,173,203,66,89,4500,12
1,143,161,40,78,3700,10
1,117,118,26,70,3300,8
1,113,113,23,69,3400,7
1,117,117,23,70,3400,7
1,116,116,25,73,3200,7
1,115,115,29,79,3100,6
1,100,100,30,77,3200,6
1,105,105,33,74,3200,7
1,107,111,35,74,3300,7
1,120,140,39,72,3300,9
1,147,147,41,78,3600,10
1,155,155,50,72,3300,15
1,148,148,52,69,3100,22
1,149,149,48,77,3000,24
1,151,151,44,80,2900,21
1,146,146,38,80,2700,20
1,140,140,34,88,2600,15
1,153,155,31,94,2800,8
1,164,164,31,91,3200,8
1,149,149,32,87,3400,8
1,152,152,31,86,3600,9
1,154,156,31,83,4100,9
1,163,163,30,82,4500,9
1,173,173,31,81,4600,10
1,78,78,41,58,2000,29
1,13,13,7,24,800,59
1,7,16,4,21,700,60
1,13,13,3,18,700,56
1,6,15,2,14,600,63
1,7,10,2,14,500,65
1,4,19,2,15,500,62
1,5,11,2,15,500,63
1,8,10,2,13,500,63
1,7,15,2,10,500,66
1,5,13,2,9,500,67
1,7,17,2,7,500,70
1,7,21,2,7,500,69
1,7,31,2,7,500,68
1,9,46,2,8,500,67
1,8,42,2,11,500,64
1,9,41,2,16,500,59
1,8,46,2,18,600,58
1,7,35,2,16,600,60
1,7,24,2,17,600,59
1,9,15,2,23,600,54
1,13,23,2,26,700,49
1,15,23,2,35,800,41
1,13,15,2,32,700,43
1,16,19,2,40,800,35
1,11,11,2,24,700,47
1,10,10,2,11,600,59
1,5,5,2,6,500,64
1,6,6,2,9,500,61
1,7,8,2,10,600,60
1,8,16,2,11,600,60
1,7,20,2,7,600,63
1,8,21,2,2,600,63
1,7,27,2,5,600,64
1,8,39,2,5,600,64
1,9,42,2,6,600,64
1,10,71,2,5,600,63
1,9,75,2,6,600,63
1,6,64,2,10,600,60
1,10,60,2,13,600,57
1,10,64,2,14,700,56
1,15,76,2,15,700,56
1,13,113,2,12,700,56
1,12,105,2,14,700,54
1,9,91,2,12,600,56
1,10,66,2,12,600,57
1,11,60,2,11,700,56
1,11,70,3,11,700,56
1,13,81,3,9,600,58
1,7,72,3,7,700,56
1,9,63,4,9,700,58
1,7,51,5,14,700,54
1,9,32,5,20,700,52
1,10,30,5,20,700,53
1,12,37,6,17,700,58
1,11,53,6,16,800,59
1,13,54,5,12,800,64
1,12,45,5,12,800,66
1,13,33,6,10,700,67
1,9,39,7,12,700,69
1,10,62,7,14,700,67
1,15,60,9,19,800,63
1,15,56,11,34,900,53
1,16,52,13,43,900,46
1,18,58,13,70,1200,23
1,20,55,15,76,1300,18
1,20,61,20,83,1300,13
1,22,59,21,64,1100,29
1,16,49,12,32,700,54
1,14,48,12,29,700,56
1,14,41,10,27,700,57
1,15,37,12,22,700,60
1,15,29,12,21,700,60
1,11,27,11,22,700,59
1,13,27,12,28,700,54
1,14,31,16,42,800,41
1,15,34,18,51,900,34
1,18,41,19,42,900,43
1,16,36,18,30,900,55
1,13,44,15,21,800,65
1,16,30,16,16,800,68
1,15,22,15,2,800,71
1,10,20,16,2,700,72
1,12,20,17,2,700,73
1,13,22,18,2,700,73
1,16,33,22,2,800,61
1,23,34,25,2,1100,44
1,29,46,31,2,1200,18
1,40,68,38,2,1900,7
1,45,67,44,2,1900,7
1,44,63,46,2,1600,8
1,47,65,53,2,1800,7
1,50,67,53,2,1700,8
1,31,45,33,2,1000,38
1,20,36,14,2,800,52
1,19,36,11,2,800,55
1,16,53,6,2,700,62
1,18,57,6,2,700,63
1,20,69,11,2,800,50
1,21,55,12,2,900,49
1,21,63,11,2,900,51
1,19,36,7,6,600,74
1,20,38,9,7,600,73
1,19,39,9,8,500,72
1,19,38,9,9,600,67
1,22,45,12,12,700,54
1,29,55,16,15,900,41
1,33,71,20,22,1400,18
1,68,108,28,30,1900,9
1,105,128,36,34,2200,9
1,109,126,38,36,2100,9
1,114,126,45,38,2300,9
1,115,128,58,40,2600,9
1,114,125,50,40,3000,8
1,113,123,38,40,2800,8
1,111,119,43,42,3000,9
1,35,49,14,33,1900,12
1,45,59,27,32,2000,16
1,144,153,45,77,2700,26
1,131,131,43,62,2300,40
1,116,116,43,54,1900,53
1,90,90,33,47,1600,60
1,66,66,27,45,1300,59
1,71,71,30,56,1400,51
1,72,79,29,81,1500,25
1,75,95,27,100,2000,9
1,85,93,34,95,1900,11
1,86,104,35,100,2500,9
1,117,131,67,100,3200,10
1,135,173,67,102,3500,10
1,136,169,52,86,2800,8
1,88,96,48,63,2200,14
1,74,87,42,59,2100,16
1,72,80,41,57,2100,16
1,67,88,42,57,2100,16
1,65,94,35,64,2100,8
1,63,93,34,62,2200,8
1,57,115,46,62,2500,8
1,58,131,65,64,2800,8
1,60,125,60,63,2800,10
1,63,124,66,61,3100,14
1,67,120,66,59,3000,18
1,70,113,65,52,2800,27
1,59,76,45,40,2100,40
1,48,69,39,40,1800,43
1,52,75,37,41,1800,44
1,52,77,37,43,1800,42
1,49,75,36,50,1800,34
1,50,76,35,58,1900,24
1,43,63,28,54,1700,25
1,39,69,24,55,1500,23
1,43,67,27,57,1600,20
1,51,92,30,61,1600,15
1,46,88,24,63,1700,11
1,35,65,27,62,1400,11
1,32,61,22,49,1300,23
1,27,41,19,36,1000,34
1,32,45,19,41,1100,29
1,57,76,32,73,2100,5
1,99,124,40,81,3300,8
1,116,153,43,94,4000,8
1,117,137,42,83,3400,9
1,68,69,30,59,2000,14
1,55,55,26,50,1600,24
1,40,40,20,39,1200,37
1,33,33,17,31,1000,47
1,29,29,17,29,900,52
1,30,31,18,28,900,53
1,33,35,20,33,1000,49
1,37,44,21,50,1100,35
1,46,58,23,60,1300,25
1,54,70,26,73,1500,13
1,71,101,39,87,1800,6
1,95,129,40,89,2300,6
1,96,96,40,75,2000,12
1,20,24,15,26,600,54
1,10,22,10,19,500,61
1,11,23,10,20,500,60
1,13,27,11,19,600,58
1,14,25,11,18,600,55
1,13,18,10,19,600,53
1,10,18,10,20,600,51
1,12,12,8,20,600,50
1,10,14,6,19,500,51
1,9,17,6,22,500,49
1,9,21,7,21,500,49
1,9,30,5,19,500,54
1,8,25,4,15,500,60
1,11,37,5,11,500,65
1,8,24,3,10,500,69
1,7,17,2,10,500,71
1,8,18,3,8,400,74
1,12,20,4,11,400,74
1,9,16,5,11,400,75
1,10,17,5,13,400,74
1,9,25,7,19,500,67
1,13,29,12,38,700,48
1,17,40,14,40,700,46
1,19,36,18,35,800,50
1,12,29,11,44,600,40
1,15,30,23,36,800,46
2,17,32,15,40,800,41
2,18,25,13,30,700,48
2,18,30,11,36,800,40
2,18,26,11,31,700,41
2,12,20,9,28,600,43
2,12,22,12,32,700,39
2,13,22,16,31,700,42
2,13,35,19,56,1000,22
2,25,48,19,69,1500,15
2,29,45,15,55,1300,29
2,9,22,5,13,500,67
2,6,25,5,11,600,72
2,9,23,6,12,700,74
2,8,18,5,10,500,77
2,9,20,6,12,400,78
2,11,22,6,11,400,80
2,9,33,8,15,400,77
2,11,27,10,23,500,70
2,14,30,11,30,600,62
2,17,31,14,39,700,52
2,15,29,14,36,600,53
2,14,19,14,31,600,56
2,10,12,10,25,500,62
2,11,14,13,22,500,64
2,14,18,13,24,600,59
2,16,22,13,26,600,54
2,17,20,16,32,700,48
2,27,27,15,43,1000,38
2,20,20,10,33,900,47
2,14,14,9,33,800,47
2,11,12,8,40,800,41
2,13,18,8,51,800,32
2,13,21,10,47,900,38
2,20,27,11,39,900,46
2,24,34,11,35,900,52
2,26,30,11,29,800,60
2,24,24,13,25,700,65
2,21,21,13,23,700,68
2,16,16,12,19,500,72
2,13,13,10,16,400,77
2,12,18,13,22,500,72
2,22,49,20,70,900,32
2,50,67,37,99,1500,19
2,60,79,42,111,1700,9
2,65,91,38,118,2400,6
2,53,55,33,103,1800,8
2,32,32,25,76,1100,20
2,26,32,24,70,1000,22
2,30,32,24,76,1200,16
2,37,37,17,56,1000,29
2,33,33,15,41,800,41
2,21,21,9,31,800,48
2,19,19,8,38,800,41
2,23,27,11,67,1100,13
2,24,30,11,71,1100,7
2,23,35,15,69,1300,12
2,31,34,24,62,1400,22
2,35,45,27,60,1400,26
2,51,58,41,61,1700,32
2,60,61,44,59,1700,39
2,60,64,41,60,1700,43
2,56,60,36,57,1500,48
2,41,41,29,47,1100,55
2,23,23,19,28,600,74
2,22,33,18,45,700,56
2,37,75,23,97,1400,10
2,39,49,28,77,1200,27
2,45,63,41,58,1200,38
2,32,45,24,45,900,48
2,18,32,17,29,600,61
2,17,29,15,22,600,66
2,12,18,12,16,500,71
2,10,10,11,15,500,71
2,13,21,13,24,600,60
2,8,23,14,16,500,65
2,13,24,14,14,500,65
2,9,20,12,14,500,64
2,9,15,13,22,500,57
2,11,16,16,25,600,54
2,10,23,16,26,600,55
2,16,26,15,27,700,55
2,14,21,14,14,500,70
2,10,32,11,11,400,75
2,12,13,12,10,400,78
2,11,11,11,10,400,82
2,8,18,13,10,300,83
2,12,18,16,14,400,80
2,14,22,18,18,500,77
2,18,32,21,26,600,69
2,11,20,17,25,400,72
2,14,32,19,23,500,69
2,12,22,17,20,500,71
2,11,24,19,20,500,71
2,13,24,21,17,600,72
2,14,21,16,12,500,76
2,10,13,13,10,500,74
2,11,17,9,13,400,66
2,11,20,9,13,500,66
2,11,19,8,12,400,68
2,11,18,9,13,400,69
2,11,18,9,20,500,64
2,11,22,9,25,500,58
2,9,30,6,18,500,67
2,9,27,4,12,400,73
2,10,54,4,8,400,77
2,10,60,3,7,400,80
2,12,64,4,7,400,81
2,10,78,3,6,300,82
2,38,52,5,7,300,81
2,10,42,6,8,300,82
2,16,40,7,10,400,78
2,10,45,8,15,400,72
2,11,46,9,19,400,66
2,18,46,15,26,600,58
2,13,42,14,19,600,66
2,8,29,11,14,500,69
2,14,31,12,18,500,63
2,13,29,11,15,600,65
2,11,24,7,10,500,69
2,10,23,7,10,500,68
2,9,19,8,8,500,69
2,9,20,8,11,600,65
2,11,24,8,28,600,47
2,15,21,7,32,800,43
2,13,24,6,52,800,22
2,12,21,10,43,800,33
2,14,25,11,26,700,53
2,17,35,13,26,800,56
2,10,18,5,12,500,73
2,16,22,5,18,700,71
2,5,8,2,8,400,83
2,13,16,5,9,500,85
2,8,8,5,6,400,89
2,13,16,6,7,400,91
2,9,16,7,9,400,88
2,8,19,8,20,500,77
2,14,32,10,53,700,42
2,59,88,23,59,1100,48
2,39,48,16,55,1000,33
2,52,64,16,60,1100,23
2,57,72,15,74,1300,7
2,63,70,17,76,1500,7
2,48,50,24,83,1800,7
2,48,61,23,80,1900,6
2,47,49,27,72,1700,11
2,58,69,36,52,2000,24
2,41,59,25,37,1500,39
2,40,64,29,38,1500,38
2,41,70,39,41,1700,37
2,43,81,41,39,1700,41
2,42,74,28,28,1300,57
2,33,51,19,23,1000,67
2,22,28,11,15,700,78
2,17,28,8,12,500,83
2,13,30,7,8,400,90
2,19,47,10,8,400,91
2,24,54,12,10,400,90
2,23,60,15,14,500,86
2,21,62,13,20,500,79
2,16,70,10,19,500,79
2,32,99,11,14,400,83
2,38,101,17,34,500,59
2,44,102,18,33,500,58
2,61,124,23,52,600,37
2,152,230,57,79,1000,8
2,494,637,192,86,1400,7
2,713,884,229,91,2100,10
2,615,762,190,90,2500,10
2,585,722,157,86,3200,8
2,577,693,151,84,3700,9
2,544,666,134,79,4400,9
2,374,501,89,55,2800,30
2,37,101,15,10,600,72
2,16,76,8,7,500,77
2,16,75,6,6,500,79
2,12,39,6,6,400,81
2,30,30,7,5,400,83
2,17,17,9,5,400,85
2,19,23,10,5,400,87
2,16,35,11,6,300,86
2,7,28,11,7,300,84
2,9,23,12,9,400,79
2,9,23,13,18,400,68
2,22,24,20,33,600,50
2,45,60,29,62,800,19
2,42,60,24,31,800,50
2,49,67,29,35,700,44
2,21,29,22,15,600,67
2,23,31,23,25,900,54
2,35,48,26,45,1200,27
2,33,41,23,45,1100,25
2,20,20,17,45,1000,30
2,19,19,12,38,900,37
2,15,16,9,32,800,42
2,13,18,11,30,700,44
2,16,24,10,35,800,39
2,16,23,9,32,800,44
2,23,28,10,36,900,45
2,31,38,13,39,1000,49
2,47,47,17,53,1300,42
2,49,49,27,38,1300,72
2,35,35,20,17,900,98
2,44,54,18,16,1000,111
2,56,73,19,23,1100,111
2,77,103,24,38,1200,99
2,84,110,29,51,1500,79
2,75,99,35,56,1600,55
2,47,58,36,51,1100,43
2,61,76,42,68,1200,26
2,64,75,36,76,1300,14
2,67,71,36,77,1600,9
2,76,84,40,74,2400,8
2,83,83,41,68,2300,11
2,81,81,39,70,2000,10
2,84,84,36,71,1900,8
2,87,87,45,74,2400,9
2,97,97,48,73,2800,8
2,96,96,44,70,2900,7
2,86,86,45,67,2600,8
2,80,80,47,59,2200,17
2,79,85,57,56,2300,26
2,77,77,51,54,2200,34
2,68,68,54,50,2400,43
2,77,77,72,53,3100,49
2,90,90,86,57,3500,55
2,109,110,96,61,3700,58
2,116,124,90,59,4000,63
2,120,140,85,65,4100,59
2,120,146,80,83,4300,39
2,122,144,75,86,4000,30
2,126,151,68,96,3900,13
2,139,171,73,104,4200,6
2,174,208,96,103,4400,7
2,197,211,119,102,5200,9
2,206,214,132,102,6200,12
2,212,223,137,104,6100,11
2,205,216,101,100,6200,10
2,198,202,103,99,6000,10
2,191,199,97,94,5900,10
2,198,211,94,90,6400,10
2,220,242,90,83,6600,10
2,199,266,58,71,5000,7
2,162,218,39,59,3200,8
2,161,207,30,61,3200,4
2,166,195,36,63,3400,6
2,161,198,40,57,2900,10
2,173,184,46,65,3700,9
2,168,191,44,57,3400,13
2,162,162,46,53,3400,18
2,146,146,43,45,2700,27
2,120,120,40,28,1900,48
2,113,113,31,39,2000,36
2,143,143,29,67,3200,3
2,131,131,27,64,2800,6
2,100,100,23,42,1800,35
2,83,83,18,29,1300,48
2,72,72,16,22,1100,59
2,81,81,13,22,1200,55
2,102,102,14,43,1900,29
2,126,126,21,55,2700,15
2,128,128,22,55,2800,14
2,176,176,22,68,4000,6
2,159,159,25,51,3200,19
2,149,149,19,41,2900,24
2,143,143,13,55,2800,9
2,138,138,12,57,2800,7
2,126,128,19,46,2400,20
